Pressure,CO2 Weld Flow,Feed,Primary Weld Current,Wire Consumed,Secondary Weld Voltage
-0.02,13.45,23.97,165.24,455.41,21.09
-0.02,13.44,24.35,164.19,462.62,21.21
-0.02,13.45,24.75,168.45,470.33,20.78
-0.02,13.45,25.12,173.08,477.21,20.75
-0.02,13.48,25.59,169.33,486.23,21.26
-0.02,13.5,25.97,167.06,493.44,21.27
-0.02,13.51,26.37,167.88,500.98,20.91
-0.02,13.5,26.72,176.83,507.7,20.94
-0.02,13.5,25.8,167.41,515.9,21.24
-0.01,13.54,26.13,174.18,522.62,21.12
-0.01,13.53,26.54,164.68,530.82,21.16
-0.01,13.57,26.95,169.44,539.02,20.78
-0.01,13.57,27.29,166.51,545.74,20.83
-0.01,13.61,27.66,167.63,553.11,21.24
-0.01,13.6,27.7,169,554.1,21.22
-0.01,13.6,27.7,165.08,554.1,20.59
-0.01,13.61,27.94,169.49,558.85,21.06
-0.01,13.63,26.64,166.46,559.34,21.32
0.05,13.65,26.64,165.96,559.34,21.32
0.05,13.63,26.64,166.8,559.34,20.67
0.05,13.64,26.64,167.55,559.34,20.7
0.05,13.61,26.64,168.65,559.34,21.19
0.05,13.6,26.64,173.75,559.34,20.79
0.05,13.6,26.64,172.13,559.34,20.81
0.05,13.61,26.64,168.53,559.34,21.24
0.05,13.62,26.64,171.43,559.34,20.69
0.05,13.65,25.42,164.34,559.34,21.15
0.04,13.64,25.43,157.03,559.51,21.04
0.04,13.69,25.43,166.81,559.51,20.46
0.04,13.68,25.43,165.78,559.51,20.5
0.04,13.69,25.43,169.59,559.51,20.98
0.04,13.7,25.43,170.66,559.51,20.96
0.04,13.68,25.43,168.88,559.51,21.16
0.04,13.66,25.43,164.7,559.51,20.69
0.04,13.65,25.43,173.01,559.51,20.6
0.04,13.65,24.33,166.01,559.51,20.46
0.03,13.62,24.33,167.7,559.51,21.06
0.03,13.62,24.33,169.89,559.51,21.06
0.03,13.64,24.33,167.06,559.51,21.3
0.03,13.64,24.33,166.6,559.51,20.29
0.03,13.64,24.33,158.74,559.51,21.43
0.03,13.67,24.33,165.81,559.67,20.64
0.03,13.66,24.33,169.49,559.67,20.78
0.03,13.65,24.33,168.73,559.67,21.21
0.03,13.66,23.32,168.5,559.67,21.18
-0.03,13.69,23.32,166.48,559.67,21.32
-0.03,13.68,23.32,165.61,559.67,21.29
-0.03,13.67,23.32,162.5,559.67,21.16
-0.03,13.68,23.32,164.99,559.67,21.14
-0.03,13.67,23.32,169.23,559.67,20.67
-0.03,13.65,23.32,171.45,559.67,21.05
-0.03,13.64,23.32,170.15,559.67,20.97
-0.03,13.68,23.32,170.63,559.67,21.13
-0.03,13.68,22.39,165.74,559.67,21.31
-0.05,13.68,22.39,172.06,559.67,20.82
-0.05,13.68,22.39,166.48,559.67,21.06
-0.05,13.71,22.39,167.39,559.67,20.62
-0.05,13.69,22.39,164.6,559.67,20.85
-0.05,13.7,22.39,167.38,559.67,21.06
-0.05,13.7,22.39,164.54,559.84,21.13
-0.05,13.71,22.39,162.18,559.84,21.1
-0.05,13.7,22.39,166.24,559.84,21.11
-0.05,13.7,22.39,167.49,559.84,21.02
-0.01,13.7,21.53,169.91,559.84,21.16
-0.01,13.69,21.53,170.65,559.84,21.09
-0.01,13.7,21.53,165,559.84,21.22
-0.01,13.72,21.53,164.65,559.84,21.3
-0.01,13.67,21.53,162.26,559.84,21.13
-0.01,13.67,21.53,164,559.84,21.34
-0.01,13.65,21.53,169.74,559.84,20.49
-0.01,13.64,21.53,168.99,559.84,20.53
-0.01,13.66,21.53,169.79,559.84,20.84
-0.01,13.68,20.73,170.99,559.84,21.16
-0.02,13.66,20.73,168.46,559.84,21.19
-0.02,13.7,20.73,164.74,559.84,21.33
-0.02,13.69,20.73,167.7,559.84,21.29
-0.02,13.64,20.74,163.29,560,20.76
-0.02,13.63,20.74,164.01,560,20.86
-0.02,13.66,20.74,165.95,560,20.91
-0.02,13.62,20.74,169.84,560,20.94
-0.02,13.62,20.74,166.81,560,21.19
-0.02,13.59,20,167.6,560,21.14
0.05,13.59,20.01,164.34,560.16,21.29
0.05,13.54,20.01,161.59,560.16,20.93
0.05,13.53,20.01,176.03,560.33,20.98
0.05,13.56,20.02,158.5,560.49,20.98
0.05,13.56,20.02,165.4,560.66,20.76
0.05,13.54,20.02,169.41,560.66,20.81
0.05,13.56,20.02,168,560.66,20.79
0.05,13.57,20.03,167.06,560.82,21.09
0.05,13.53,19.34,167.11,560.82,20.89
0.03,13.55,19.34,168.21,560.98,21.16
0.03,13.54,19.34,169.35,560.98,21.12
0.03,13.55,19.34,165.18,560.98,21.29
0.03,13.53,19.34,160.54,560.98,21.23
0.03,13.53,19.34,165.16,560.98,21.28
0.03,13.52,19.34,166.13,560.98,20.62
0.03,13.53,19.34,166.75,560.98,20.17
0.03,13.53,19.34,170.51,560.98,20.91
0.03,13.53,18.7,168.59,560.98,20.76
0.03,13.53,18.7,168.55,560.98,21.14
0.03,13.5,18.7,170.28,560.98,21
0.03,13.48,18.7,167.75,560.98,21.21
0.03,13.48,18.7,168.93,560.98,21.16
0.03,13.48,18.7,161.45,560.98,21.09
0.03,13.48,18.7,165.44,560.98,20.48
0.03,13.48,18.7,162.54,560.98,20.67
0.03,13.48,18.7,165.43,560.98,20.67
0.03,13.48,18.1,164.49,560.98,20.61
0.01,13.45,18.1,169.06,560.98,21.01
0.01,13.46,18.1,166.73,560.98,20.77
0.01,13.46,18.15,168.96,562.62,20.97
0.01,13.47,18.36,168.7,569.02,20.9
0.01,13.44,18.61,177.14,576.89,21.18
0.01,13.43,18.83,169.48,583.61,20.96
0.01,13.42,18.83,168.2,583.61,21.13
0.01,13.38,18.83,166.66,583.61,21.38
0.01,13.4,18.24,168.24,583.61,21.23
-0.04,13.39,18.24,165.6,583.61,20.85
-0.04,13.4,18.38,169.19,588.2,21.16
-0.04,13.37,18.52,70.33,592.62,33.72
-0.04,13.37,18.54,0,593.28,0
-0.04,13.38,18.55,0,593.44,0
-0.04,13.4,18.55,0,593.61,0
-0.04,13.39,18.55,0,593.61,0
-0.04,13.4,18.55,0,593.61,0
-0.04,13.43,18.56,0,593.77,0
0.08,13.4,17.99,0,593.77,0
0.08,13.4,18,0,593.93,0
0.08,13.37,18,0,593.93,0
0.08,13.38,18,0,593.93,0
0.08,13.37,18,0,593.93,0
0.08,13.39,18,0,593.93,0
0.08,13.35,18,0,593.93,0
0.08,13.34,18,0,593.93,0
0.08,13.32,18,0,593.93,0
0.69,13.28,17.47,0,593.93,0
0.69,13.17,17.47,0,593.93,0
0.69,13.04,17.47,0,593.93,0
0.69,12.83,17.47,0,593.93,0
0.69,12.84,17.47,0,593.93,0
0.69,12.18,17.47,0,593.93,0
0.69,12.14,17.47,0,593.93,0
0.69,11.79,17.47,0,593.93,0
0.69,11.48,16.97,0,593.93,0
1.38,11.06,16.97,0,593.93,0
1.38,10.63,16.97,0,593.93,0
1.38,10.13,16.97,0,593.93,0
1.38,9.63,16.97,0,593.93,0
1.38,9.15,16.97,0,593.93,0
1.38,8.64,16.97,0,593.93,0
1.38,8.21,16.97,0,593.93,0
1.38,7.64,16.97,0,593.93,0
1.38,7.2,16.5,0,593.93,0
1.97,6.74,16.5,0,593.93,0
1.97,6.34,16.5,0,593.93,0
1.97,5.9,16.5,0,593.93,0
1.97,5.54,16.5,0,593.93,0
1.97,5.16,16.5,0,593.93,0
1.97,4.75,16.5,0,593.93,0
1.97,4.45,16.5,0,593.93,0
1.97,4.08,16.5,0,593.93,0
1.97,3.8,16.05,0,593.93,0
2.46,3.52,16.05,0,593.93,0
2.46,3.27,16.05,0,593.93,0
2.46,3,16.05,0,593.93,0
